date_time,RME_176,RMESP
1998-01-15 02:00:00,548.42,548.42
1998-01-15 03:00:00,539.37,539.37
1998-01-15 04:00:00,526.05,526.05
1998-01-15 05:00:00,526.05,526.05
1998-01-15 06:00:00,508.75,508.75
1998-01-15 07:00:00,479.73,479.73
1998-01-15 08:00:00,463.83,463.83
1998-01-15 09:00:00,459.93,459.93
1998-01-15 10:00:00,459.93,463.83
1998-01-15 11:00:00,452.22,459.93
1998-01-15 12:00:00,467.76,471.72
1998-01-15 13:00:00,448.41,459.93
1998-01-15 14:00:00,426.15,459.93
1998-01-15 15:00:00,433.46,479.73
1998-01-15 16:00:00,429.79,456.06
1998-01-15 17:00:00,394.65,415.41
1998-01-15 18:00:00,365.29,387.95
1998-01-15 19:00:00,337.94,355.96
1998-01-15 20:00:00,352.9,355.96
1998-01-15 21:00:00,299.08,299.08
1998-01-15 22:00:00,241.84,248.4
1998-01-15 23:00:00,264.35,255.13
1998-01-16 00:00:00,259.7,252.87
1998-01-16 01:00:00,286.23,291.31
1998-01-16 02:00:00,312.47,286.23
1998-01-16 03:00:00,329.24,315.21
1998-01-16 04:00:00,391.29,381.35
1998-01-16 05:00:00,433.46,440.87
1998-01-16 06:00:00,452.22,456.06
1998-01-16 07:00:00,479.73,479.73
1998-01-16 08:00:00,491.98,491.98
1998-01-16 09:00:00,504.51,500.3
1998-01-16 10:00:00,521.68,526.05
1998-01-16 11:00:00,553.0,557.61
1998-01-16 12:00:00,566.94,571.66
1998-01-16 13:00:00,595.79,595.79
1998-01-16 14:00:00,620.04,615.56
1998-01-16 15:00:00,629.1,629.1
1998-01-16 16:00:00,638.27,638.27
1998-01-16 17:00:00,647.56,647.56
1998-01-16 18:00:00,656.96,652.25
1998-01-16 19:00:00,647.56,647.56
1998-01-16 20:00:00,642.9,638.27
1998-01-16 21:00:00,638.27,638.27
1998-01-16 22:00:00,633.67,638.27
1998-01-16 23:00:00,624.56,620.04
1998-01-17 00:00:00,642.9,642.9
1998-01-17 01:00:00,666.49,666.49
1998-01-17 02:00:00,676.15,671.3
1998-01-17 03:00:00,681.02,676.15
1998-01-17 04:00:00,685.92,681.02
1998-01-17 05:00:00,685.92,681.02
1998-01-17 06:00:00,681.02,685.92
1998-01-17 07:00:00,666.49,671.3
1998-01-17 08:00:00,647.56,656.96
1998-01-17 09:00:00,638.27,647.56
1998-01-17 10:00:00,624.56,624.56
1998-01-17 11:00:00,595.79,595.79
1998-01-17 12:00:00,539.37,548.42
1998-01-17 13:00:00,448.41,456.06
1998-01-17 14:00:00,415.41,418.96
1998-01-17 15:00:00,401.46,408.38
1998-01-17 16:00:00,394.65,408.38
1998-01-17 17:00:00,346.84,359.05
1998-01-17 18:00:00,309.75,323.56
1998-01-17 19:00:00,309.75,323.56
1998-01-17 20:00:00,332.12,326.39
1998-01-17 21:00:00,346.84,340.88
